Specific Humidity,Relative Humidity,Temperature,Precipitation
8.06,48.25,23.93,0
8.73,50.81,25.83,0.11
8.48,42.88,26.68,0.01
13.79,55.69,22.49,0.02
17.4,70.88,19.07,271.14
19.53,84.19,7.91,313.67
18.8,88.5,6.67,820.45
18.86,88.44,7.07,362.38
18.43,86.12,10.63,97.85
16.72,78.38,15.38,63.41
12.02,63.69,17.48,4.37
7.39,44.56,20.09,11.25
8.06,45.81,22.94,0
7.57,41.56,22.7,0
11.29,55.56,20.97,0.03
12.27,49.69,22.73,1.57
16.6,62.44,16.03,29.11
19.1,81.94,9.83,510.09
19.23,89,5.98,622.31
18.92,90.94,5.47,429.62
18.68,87.69,10.91,155.88
16.72,80.19,14.76,120.24
12.51,66.56,18.25,6.15
9.83,56.44,17.97,0
8.18,51.06,23.58,0.03
7.75,39.31,25.44,0.11
9.77,43.44,23.32,0.47
12.88,50.12,21.04,2.06
16.85,60.44,19.38,8.63
19.17,78.06,13.12,498.92
18.92,85.12,6.26,126.77
18.86,89.88,6.24,581.79
17.88,85.75,12.04,87.71
15.81,71.75,17.16,17.29
11.17,57,18.57,2.59
8.67,48.75,23.45,0.21
8.48,43.25,25.19,0.03
9.34,48.12,21.83,8.41
9.09,42.19,23.27,0.11
13.24,52.44,21.49,0.76
15.69,58.44,20.51,0.01
19.53,79.75,14.93,710.1
20.2,89.81,5.22,584.85
19.23,89.5,5.56,380.55
18.68,88.94,7.65,233.14
15.87,76,15.73,50.96
13.43,69.81,16.23,1.1
9.64,56.44,20.71,0.16
8.67,51.94,22.16,0.37
7.51,38.88,24.88,0.03
8.73,37.19,23.07,0
14.04,57.25,18.28,0.06
16.91,62.81,21.23,92.28
19.23,81.31,11.2,376.96
19.35,87.25,6.24,663.26
18.98,90.62,5.7,949.59
18.86,87,10.34,225.06
15.2,76.69,14.52,27.3
13.06,66.5,16.66,4.29
9.34,54.44,18.29,0.01
8,49.5,22.85,3.47
8.54,46.69,26.7,0
10.19,48.5,24.38,0.41
11.96,48.5,23.25,13.56
15.87,59.81,18.37,15.65
19.17,76.12,12.55,799.32
20.14,91.12,4.91,1095.38
19.17,90.19,6.21,432.24
19.47,92.06,9,776.41
15.62,76.81,16.19,75.44
11.54,66.81,17.23,0
9.46,58.5,19.3,0
8.24,49.38,23.38,0
7.87,38.5,24.25,0
10.38,48.25,23.8,9.61
13.37,56.88,19.78,0.01
16.66,63.94,16.48,187.67
19.59,81.62,8.96,441.71
19.41,91.12,4.73,1122.56
18.86,91.56,5.13,1052.65
19.29,90.44,8.38,389.08
17.03,79.38,14.12,142.46
14.34,74.56,13.64,24.05
10.86,62.12,17.57,0.35
8.85,51.56,22.68,0.03
10.01,53.69,20.73,0.35
9.34,42.44,25.3,0
12.94,50.88,23.7,8.47
16.24,60.12,15.14,5.13
20.08,81.25,10.63,902.25
20.02,89.75,6.21,706.04
19.59,90.81,6.16,609.34
19.47,89.62,8.16,449.85
14.65,73.5,14.66,5.6
12.82,67.94,18.42,7.12
10.68,60.69,20.99,0
7.45,47.12,23.96,0
6.65,39.25,29.28,0.03
10.01,44.62,22.02,6.91
12.82,51.94,21.89,0.21
16.17,61.44,15.66,3.31
19.59,84.12,12.2,708.11
19.53,89.38,5.33,627.03
18.98,90.31,6.88,698.05
18.8,88.88,10.93,513.22
15.5,75.06,16.25,36.19
13,67.69,17.81,2.71
10.8,58.06,20.38,6.76
9.09,50.12,24.01,0
7.69,39.81,25.62,0
9.7,42.19,23.08,3.2
12.27,47.75,22.87,0.54
15.81,58.56,16.99,2.06
18.55,73.06,11.15,221.99
19.84,90.44,5.26,1052.5
19.41,89.44,6.26,403.09
19.41,88.69,9.84,277.45
15.87,75.62,15.39,206.96
14.22,75.12,16.66,109.36
11.6,67.12,18.44,0.08
9.83,56.94,20.45,0.35
9.16,50.5,23.31,0.01
10.62,47.12,23.78,6.02
13.79,53.25,21.23,0.49
17.09,59.88,15.62,11.74
20.57,84.19,10.43,662.62
20.39,91.5,6.21,1068.2
19.78,91.06,6.07,872.43
19.41,88.75,9.36,248.55
17.88,81.88,13.84,195.25
17.03,82.31,13.91,65.66
11.23,70.69,19.12,0
8.85,56.69,22.66,0
9.03,51.19,22.02,0.16
8.73,39.44,23.73,0.05
13.55,55.12,20.6,6.9
16.17,60.94,15.72,2.1
19.78,82.5,11.82,350.5
19.71,90.06,7.24,1093.05
19.53,91.38,6.05,629.81
18.74,88.56,8.3,348.67
17.03,79.06,14.62,166.83
13,66.69,16.54,0.42
10.07,58.62,20.41,0
8.18,54.44,21.98,0
6.47,35.88,29.15,0
7.51,37.5,27.43,0
13.06,53.44,20.14,2.45
15.75,61.19,15.54,1.83
18.68,74.69,13.49,238.62
19.84,88.75,6.79,583.05
19.41,90.31,5.54,385.66
18.86,89.06,10.54,408.01
16.78,78.44,14.91,204.61
12.45,67.31,17.12,0.34
10.99,63,17.77,0
8.54,53.44,22.33,0
9.52,49.81,23.1,6.72
9.46,43,22.1,0.79
13.24,55.75,20.92,0.01
16.36,60.31,17.23,0.42
19.96,86.5,10.9,932.22
19.47,91.69,4.83,886.67
18.8,89.81,5.59,233.98
18.98,88.62,8.92,314.67
17.4,81.94,14.21,88.57
13.49,71.12,16.74,4.21
10.19,60.88,17.84,2.19
9.52,56.69,22.52,0.75
8.91,48.56,22.5,0.43
10.01,45.31,26.31,3.95
12.21,48.88,22.52,2.1
15.38,56.56,17.28,12.83
18.31,68.06,13.32,75.97
19.65,86.69,9.27,1307.43
19.41,90.44,7.85,631.78
18.49,86.88,10.76,262.4
16.36,75.31,14.91,28.7
13.12,66.94,16.23,19.39
9.34,54.5,21.85,18.77
8.67,53.25,21.37,0.85
8.24,43.69,22.51,11.77
10.8,50.25,29.34,40.27
13.79,56.38,21.41,1.82
16.72,61.25,16.24,33.98
19.35,80.62,12.81,804.68
19.41,86.62,6.74,281.76
19.04,87.44,7.28,122.29
18.31,84.44,13.56,307.96
17.15,75.81,14.72,72.07
13.85,69.44,15.36,29.46
9.46,52.5,22.91,0
7.57,45.5,24.46,0.38
9.52,50.56,23.57,20.79
10.8,47.94,23.17,3.13
13.37,53.75,19.66,1.68
17.03,61.38,16.02,9.39
19.41,77.31,13.92,535.52
19.71,91.19,5.2,1009.4
19.17,90.75,5.83,684.2
18.62,90,8.02,606.37
15.56,78.81,15.45,100.44
10.5,61.06,18.4,0.09
9.28,53.94,20.38,0.03
8,48.62,23.98,0
7.45,37.75,24.93,0.13
10.07,47,27.39,1.85
12.63,53.12,23.02,0.18
16.17,59.12,16.91,13.69
20.08,82.31,12.02,600.76
19.84,89.94,5.37,1012.11
19.29,89.94,6.88,665.17
19.47,88.38,10.27,472.09
16.85,77.19,15.91,135.57
11.96,67.12,15.95,0.94
11.11,66.62,16.84,47.28
9.03,54.31,21.09,2.07
8.48,44.69,24.09,6.42
9.64,42.81,23.45,1.48
12.88,51.31,20.49,1.03
16.05,59.19,16.92,5.22
20.02,81.81,13.05,540.89
19.71,91,5.98,969.61
18.8,89.94,5.61,423.43
17.88,85.44,12.2,99.12
15.2,69.38,17.13,21.6
11.84,58.75,17.18,6.6
7.93,46.25,21.98,0.19
5.74,34.69,23.41,0.28
7.45,40.44,27.1,0.27
9.16,44.19,26.17,0.66
13.06,52.88,24.02,3.68
15.26,58.19,18.42,0.43
19.04,73.56,13.71,454.13
20.45,90.81,6.38,1083.3
19.59,90.75,6.16,666.94
19.78,91.38,6.7,928.89
18.13,84.44,11.93,192.61
15.62,78.5,13.65,53.27
14.1,76.81,17.22,2.85
10.62,67.56,22.98,0.17
